,weekday,line_count,notes,timestamp_arrive,timestamp_depart
0,Wednesday,19,,2016-06-08 07:50:00,2016-06-08 08:05:00
1,Thursday,4,,2016-06-09 07:26:00,2016-06-09 07:29:00
2,Thursday,19,Bus arrived as I got in line,2016-06-09 08:01:00,2016-06-09 08:21:00
3,Friday,9,,2016-06-10 07:30:00,2016-06-10 07:38:00
4,Friday,21,Took the bus after 10 minutes ,2016-06-10 07:50:00,2016-06-10 08:00:00
5,Monday,31,"Took the bus, 13 ppl in line",2016-06-13 07:48:00,2016-06-13 08:03:00
6,Tuesday,26,,2016-06-14 07:51:00,2016-06-14 08:04:00
7,Tuesday,17,,2016-06-14 08:00:00,2016-06-14 08:11:00
8,Wednesday,8,,2016-06-15 07:31:00,2016-06-15 07:35:00
9,Wednesday,16,,2016-06-15 08:02:00,2016-06-15 08:15:00
10,Thursday,12,,2016-06-16 08:20:00,2016-06-16 08:32:00
11,Friday,9,,2016-06-17 08:11:00,2016-06-17 08:21:00
12,Monday,24,,2016-06-20 07:48:00,2016-06-20 08:02:00
13,Tuesday,24,,2016-06-21 07:52:00,2016-06-21 08:02:00
14,Wednesday,1,,2016-06-22 07:01:00,2016-06-22 07:02:00
15,Wednesday,19,,2016-06-22 07:53:00,2016-06-22 08:11:00
16,Thursday,14,,2016-06-23 07:47:00,2016-06-23 07:57:00
17,Thursday,12,,2016-06-23 07:53:00,2016-06-23 08:07:00
18,Friday,20,,2016-06-24 07:48:00,2016-06-24 08:02:00
19,Monday,28,"Took bus at 7:57 AM, would have been 20 people in line ahead of us",2016-06-27 07:52:00,
20,Tuesday,13,,2016-06-28 07:42:00,2016-06-28 07:58:00
21,Tuesday,3,Two people in front of me we're together so let me go first,2016-06-28 08:38:00,2016-06-28 08:39:00
22,Wednesday ,14,,2016-06-29 07:41:00,2016-06-29 07:53:00
23,Wednesday ,25,Didn't get in line just took bus,2016-06-29 08:17:00,
24,Thursday,14,,2016-06-30 07:50:00,2016-06-30 07:59:00
25,Thursday,12,,2016-06-30 08:01:00,2016-06-30 08:15:00
26,Friday,20,,2016-07-01 08:11:00,2016-07-01 08:27:00
